ID,latitude,longitude,depth,X,Y,Z,EX,EY,EZ,MAG,NCCP,NCCS,NCTP,NCTS,RCC,RCT,CID,time_utc
141,15.113792,-95.022599,-23.485,-20585.5,-37236.8,-5069.9,872.4,1045.1,952.1,1.907,0,0,75,18,-9.0,0.313,1,2017-09-09 22:12:36.520
142,14.950734,-94.94681,-21.711,-12449.9,-55279.4,-6843.8,1278.8,1417.4,1570.6,2.277,0,0,30,8,-9.0,0.237,1,2017-09-09 22:36:50.000
143,15.173972,-94.76241,-34.476,7359.9,-30577.7,5921.8,1141.1,1132.2,1168.5,2.419,0,0,326,259,-9.0,0.341,1,2017-09-09 22:53:55.160
144,15.027782,-94.550236,-35.687,30155.9,-46753.9,7132.8,1100.1,967.6,1749.3,2.383,0,0,121,32,-9.0,0.304,1,2017-09-09 23:28:31.200
145,15.158761,-94.562223,-29.988,28859.3,-32260.9,1433.7,1125.5,946.0,1239.5,2.029,0,0,47,16,-9.0,0.362,1,2017-09-09 23:47:20.180
146,15.097843,-94.596501,-19.973,25181.5,-39001.6,-8581.9,1049.1,1213.9,1028.4,2.826,0,0,25,5,-9.0,0.286,1,2017-09-10 00:52:25.500
147,14.825908,-94.29034,-31.182,-5083.4,5192.5,466.3,5050.2,5161.4,6862.3,2.783,0,0,14,2,-9.0,0.676,4,2017-09-10 01:51:26.610
148,15.28997,-94.976172,-31.777,-15592.5,-17742.2,3222.2,792.9,988.7,1260.6,2.837,0,0,105,31,-9.0,0.317,1,2017-09-10 02:26:01.830
149,14.91818,-94.569523,-19.654,28091.0,-58881.6,-8900.6,1433.2,1409.1,1549.6,2.166,0,0,7,2,-9.0,0.307,1,2017-09-10 02:35:23.100
150,14.859261,-94.829818,-30.018,121.1,-65401.2,1463.8,2066.8,2356.5,3194.7,3.742,0,0,16,3,-9.0,0.267,1,2017-09-10 03:07:19.360
151,15.05973,-94.695817,-27.948,14514.9,-43218.8,-606.4,720.8,731.1,541.3,2.014,0,0,207,57,-9.0,0.275,1,2017-09-10 04:24:23.470
152,15.187089,-94.771745,-20.845,6357.2,-29126.2,-7709.8,1294.1,1489.5,1021.4,2.5,0,0,363,176,-9.0,0.389,1,2017-09-10 04:28:19.460
153,15.150401,-95.105851,-25.894,-29524.8,-33185.9,-2660.7,883.9,965.2,1285.1,2.875,0,0,51,34,-9.0,0.265,1,2017-09-10 04:43:57.770
154,15.449335,-95.043359,-41.774,-22797.5,-108.2,13219.0,632.5,841.2,1641.7,2.888,0,0,137,84,-9.0,0.286,1,2017-09-10 04:50:32.440
155,15.145931,-95.058569,-30.208,-24447.1,-33680.6,1653.2,904.7,1010.5,1327.5,2.153,0,0,65,25,-9.0,0.328,1,2017-09-10 05:20:31.290
156,15.139983,-94.893905,-27.643,-6762.6,-34338.7,-911.7,1066.2,1420.8,1608.6,1.825,0,0,59,40,-9.0,0.354,1,2017-09-10 05:28:20.960
